Season,Tm,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,BABIP,wRC,wRAA,wOBA,wRC+
2018,"PIT",6066,0.078140454,0.202604681,0.385679414,0.253534055,0.317307692,0.407196621,0.724504313,0.153662566,0.297592997,693.0586690969365,-15.639018439541484,0.3122635693362366,94.8727625745859
2018,"STL",6200,0.084677419,0.222580645,0.380434782,0.248999636,0.320923427,0.409239723,0.73016315,0.160240087,0.293865185,726.5152286218615,2.1621684955568137,0.3157614834900477,99.35458909311677
2018,"SDP",6059,0.077735599,0.25136161,0.309258043,0.23496172,0.297310756,0.38005833,0.677369086,0.14509661,0.293719051,601.2339344173737,-106.64593514799395,0.2936807587553932,84.36548362562364
2018,"SFG",6113,0.073286438,0.239980369,0.305385139,0.238946038,0.299506578,0.367803645,0.667310223,0.128857607,0.299020838,585.284038361336,-128.90471269545438,0.28956524891569124,81.61952385778022
2019,"LAA",6251,0.093745,0.204127339,0.459247648,0.246842295,0.32403399,0.421869361,0.745903351,0.175027066,0.280821917,769.2643914053347,-17.221593188295195,0.3164541591150859,95.67185766458493
2019,"BAL",6189,0.07464857,0.231862982,0.321951219,0.246426018,0.310087577,0.414581844,0.724669421,0.168155826,0.292597239,713.2664637408336,-65.41882799648424,0.30780851730629777,88.25802027094967
2019,"BOS",6475,0.091119691,0.213436293,0.42691751,0.26932409,0.339841933,0.465857885,0.805699818,0.196533795,0.312634344,914.8141081977792,100.14497522005524,0.33796254550442806,105.95754298399419
2019,"CHW",6042,0.062562065,0.256372062,0.244028405,0.26098752,0.314238134,0.413998914,0.728237048,0.153011394,0.329242819,702.7431897528278,-57.44691085742848,0.3091487058392354,91.63414315968136
2019,"CLE",6124,0.091933376,0.217504898,0.422672672,0.249585253,0.323307034,0.432258064,0.755565098,0.182672811,0.288815117,765.2084366078208,-5.298709393041447,0.3189722110640699,97.41334758277465
2019,"DET",6039,0.064745818,0.264116575,0.245141065,0.240223463,0.293864013,0.38817805,0.682042063,0.147954587,0.30777229,600.9028990872049,-158.90974864290718,0.28951888873261655,77.47139781050434
2019,"KCR",6080,0.075,0.231085526,0.32455516,0.24672489,0.309102924,0.400836972,0.709939896,0.154112082,0.300679929,669.3084885933328,-95.66268183208219,0.30183702397220097,84.00381300248105
